,no rank,superkingdom,order,family,genus,species,phylum,class,clade,strain,isolate,subphylum
2162,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum,Euryarchaeota,Methanobacteria,Methanomada group,,,
420247,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,Euryarchaeota,Methanobacteria,Methanomada group,Methanobrevibacter smithii ATCC 35061,,
2173,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,Euryarchaeota,Methanobacteria,Methanomada group,,,
547558,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus mahii,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanohalophilus mahii DSM 5219,,
2177,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus halophilus,Euryarchaeota,Methanomicrobia,Stenosarchaea group,,,
523846,cellular organisms,Archaea,Methanobacteriales,Methanothermaceae,Methanothermus,Methanothermus fervidus,Euryarchaeota,Methanobacteria,Methanomada group,Methanothermus fervidus DSM 2088,,
406327,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii,Euryarchaeota,Methanococci,Methanomada group,Methanococcus vannielii SB,,
456320,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus voltae,Euryarchaeota,Methanococci,Methanomada group,Methanococcus voltae A3,,
880724,cellular organisms,Archaea,Methanococcales,Methanocaldococcaceae,Methanotorris,Methanotorris igneus,Euryarchaeota,Methanococci,Methanomada group,Methanotorris igneus Kol 5,,
243232,cellular organisms,Archaea,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Euryarchaeota,Methanococci,Methanomada group,Methanocaldococcus jannaschii DSM 2661,,
368407,cellular organisms,Archaea,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus marisnigri,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanoculleus marisnigri JR1,,
323259,cellular organisms,Archaea,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanospirillum hungatei JF-1,,
269797,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina barkeri str. Fusaro,,
1434109,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina barkeri str. Wiesmoor,,
1434108,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina barkeri MS,,
1434106,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina barkeri 227,,
1434107,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina barkeri 3,,
796385,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina barkeri CM1,,
192952,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina mazei Go1,,
1434117,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina mazei WWM610,,
1434115,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina mazei SarPi,,
213585,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina mazei S-6,,
1434114,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina mazei LYC,,
1434113,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina mazei C16,,
2209,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Euryarchaeota,Methanomicrobia,Stenosarchaea group,,,
